SNo.,Movie Name,Duration (min),Year,Ratings,Metascore,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6
1,The Dark Knight,152,2008,9,84,Christopher Nolan,,,,,
2,The Lord of the Rings: The Return of the King,201,2003,9,94,Peter Jackson,,,,,
3,Inception,148,2010,8.8,74,Christopher Nolan,,,,,
4,The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,92,Peter Jackson,,,,,
5,The Lord of the Rings: The Two Towers,179,2002,8.8,87,Peter Jackson,,,,,
6,The Matrix,136,1999,8.7,73,Lana Wachowski,Lilly Wachowski,,,,
7,Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,82,Irvin Kershner,,,,,
8,Soorarai Pottru,153,2020,8.7,,Sudha Kongara,,,,,
9,Star Wars: Episode IV - A New Hope,121,1977,8.6,90,George Lucas,,,,,
10,Terminator 2: Judgment Day,137,1991,8.6,75,James Cameron,,,,,
11,Seven Samurai,207,1954,8.6,98,Akira Kurosawa,,,,,
12,Harakiri,133,1962,8.6,85,Masaki Kobayashi,,,,,
13,Sita Ramam,163,2022,8.6,,Hanu Raghavapudi,,,,,
14,Léon: The Professional,110,1994,8.5,64,Luc Besson,,,,,
15,Gladiator,155,2000,8.5,67,Ridley Scott,,,,,
16,Spider-Man: Into the Spider-Verse,117,2018,8.4,87,Bob Persichetti,Peter Ramsey,Rodney Rothman,,,
17,Avengers: Endgame,181,2019,8.4,78,Anthony Russo,Joe Russo,,,,
18,Indiana Jones and the Raiders of the Lost Ark,115,1981,8.4,85,Steven Spielberg,,,,,
19,Avengers: Infinity War,149,2018,8.4,68,Anthony Russo,Joe Russo,,,,
20,Oldboy (2003),101,2003,8.4,77,Park Chan-wook,,,,,
21,The Dark Knight Rises,164,2012,8.4,78,Christopher Nolan,,,,,
22,Aliens,137,1986,8.4,84,James Cameron,,,,,
23,Kaithi,145,2019,8.4,,Lokesh Kanagaraj,,,,,
24,Asuran,141,2019,8.4,,Vetrimaaran,,,,,
25,Top Gun: Maverick,130,2022,8.3,78,Joseph Kosinski,,,,,
26,Heat,170,1995,8.3,76,Michael Mann,,,,,
27,Star Wars: Episode VI - Return of the Jedi,131,1983,8.3,58,Richard Marquand,,,,,
28,Princess Mononoke,134,1997,8.3,76,Hayao Miyazaki,,,,,
29,North by Northwest,136,1959,8.3,98,Alfred Hitchcock,,,,,
30,Kantara,148,2022,8.3,,Rishab Shetty,,,,,
31,Dangal,161,2016,8.3,,Nitesh Tiwari,,,,,
32,K.G.F: Chapter 2,168,2022,8.3,,Prashanth Neel,,,,,
33,Vikram,175,2022,8.3,,Lokesh Kanagaraj,,,,,
34,Raatchasan,170,2018,8.3,,Ram Kumar,,,,,
35,Shershaah,135,2021,8.3,,Vishnuvardhan,,,,,
36,Guardians of the Galaxy Vol. 3,150,2023,8.2,64,James Gunn,,,,,
37,Spider-Man: No Way Home,148,2021,8.2,71,Jon Watts,,,,,
38,Jurassic Park,127,1993,8.2,68,Steven Spielberg,,,,,
39,Indiana Jones and the Last Crusade,127,1989,8.2,65,Steven Spielberg,,,,,
40,1917,119,2019,8.2,78,Sam Mendes,,,,,
41,Kill Bill: Vol. 1,111,2003,8.2,69,Quentin Tarantino,,,,,
42,Batman Begins,140,2005,8.2,70,Christopher Nolan,,,,,
43,Die Hard,132,1988,8.2,72,John McTiernan,,,,,
44,V for Vendetta,132,2005,8.2,62,James McTeigue,,,,,
45,Demon Slayer the Movie: Mugen Train,117,2020,8.2,72,Haruo Sotozaki,,,,,
