Movie Name,Votes,Certification,Gross (USD millions),Star 1,Star 2,Star 3,Star 4,Genre1,Genre2,Genre3,Popularity
Spider-Man: Across the Spider-Verse,38365,PG,,Shameik Moore,Hailee Steinfeld,Oscar Isaac,Luna Lauren Velez,Animation, Action, Adventure,23
The Dark Knight,2719626,PG-13,534.86,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Action, Crime, Drama,117
The Lord of the Rings: The Return of the King,1887925,PG-13,377.85,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,Action, Adventure, Drama,407
Inception,2414206,PG-13,292.58,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,Action, Adventure, Sci-Fi,103
The Lord of the Rings: The Fellowship of the Ring,1916545,PG-13,315.54,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,Action, Adventure, Drama,184
The Lord of the Rings: The Two Towers,1704008,PG-13,342.55,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,Action, Adventure, Drama,788
The Matrix,1958728,R,171.48,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Action, Sci-Fi,,201
Star Wars: Episode V - The Empire Strikes Back,1321692,PG,290.48,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action, Adventure, Fantasy,603
Soorarai Pottru,119535,TV-MA,,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,Action, Drama,,
Star Wars: Episode IV - A New Hope,1394151,PG,322.74,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,Action, Adventure, Fantasy,245
Terminator 2: Judgment Day,1123517,R,204.84,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Action, Sci-Fi,,473
Seven Samurai,352945,Not Rated,0.27,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Action, Drama,,1508
Harakiri,61030,Not Rated,,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Action, Drama, Mystery,3285
Sita Ramam,59989,U,,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,Action, Drama, Mystery,
Léon: The Professional,1189906,R,19.5,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Action, Crime, Drama,204
Gladiator,1536813,R,187.71,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Action, Adventure, Drama,227
Spider-Man: Into the Spider-Verse,569967,PG,190.24,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,Animation, Action, Adventure,86
Avengers: Endgame,1181009,PG-13,858.37,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Action, Adventure, Drama,120
Indiana Jones and the Raiders of the Lost Ark,986988,PG,248.16,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,Action, Adventure,,157
Avengers: Infinity War,1124303,PG-13,678.82,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Action, Adventure, Sci-Fi,248
Oldboy (2003),596663,R,0.71,Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong,Kim Byeong-Ok,Action, Drama, Mystery,314
The Dark Knight Rises,1742324,PG-13,448.14,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,Action, Drama, Thriller,429
Aliens,732785,R,85.16,Sigourney Weaver,Michael Biehn,Carrie Henn,Paul Reiser,Action, Adventure, Sci-Fi,509
Kaithi,36148,Not Rated,,Karthi,Narain,Arjun Das,George Maryan,Action, Adventure, Crime,4804
Asuran,31207,Not Rated,,Dhanush,Manju Warrier,Prakash Raj,Pasupathy,Action, Drama,,
Top Gun: Maverick,590973,PG-13,718.73,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,Action, Drama,,50
Heat,676768,R,67.44,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Action, Crime, Drama,57
Star Wars: Episode VI - Return of the Jedi,1078042,PG,309.13,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Action, Adventure, Fantasy,410
Princess Mononoke,406970,PG-13,2.38,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,Animation, Action, Adventure,1446
North by Northwest,334711,Approved,13.28,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,Action, Adventure, Mystery,1801
Kantara,95543,Not Rated,,Rishab Shetty,Kishore Kumar G.,Achyuth Kumar,Sapthami Gowda,Action, Adventure, Drama,3575
Dangal,197418,Not Rated,12.39,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,Action, Biography, Drama,4102
K.G.F: Chapter 2,139692,Not Rated,6.6,Yash,Sanjay Dutt,Raveena Tandon,Srinidhi Shetty,Action, Crime, Drama,
Vikram,63887,UA,,Kamal Haasan,Vijay Sethupathi,Fahadh Faasil,Narain,Action, Crime, Thriller,
